crop,region,soil_type,season,year,avg_temperature,avg_rainfall,humidity,sunlight_hours,soil_ph,nitrogen_content,phosphorus_content,potassium_content,organic_matter,farm_area_ha,irrigation_type,fertilizer_kg_ha,pesticide_l_ha,yield_per_ha,total_yield_tons
Rice,West,Loamy,Zaid,2015,20.33,38.89,64.31,9.87,7.82,335.4,25.97,98.13,3.16,7.26,Rainfed,129.78,1.05,0.64,4.64
Sugarcane,South,Peat,Zaid,2023,18.13,35.98,55.75,8.74,6.58,106.2,16.78,122.63,3.47,1.02,Sprinkler,190.16,1.2,7.1,7.23
Sugarcane,East,Loamy,Zaid,2024,20.88,38.9,43.36,9.37,6.89,349.32,16.92,86.18,1.88,7.76,Sprinkler,126.44,4.08,14.98,116.25
Potato,Central,Sandy,Kharif,2020,36.57,127.4,65.71,4.72,7.43,146.61,39.01,207.28,4.02,6.28,Sprinkler,217.88,1.49,12.2,76.61
Sugarcane,West,Clay,Kharif,2021,26.95,24.39,75.97,11.62,6.29,126.31,43.29,264.17,2.98,0.74,Rainfed,293.57,8.29,6.61,4.89
Rice,North,Clay,Rabi,2017,24.25,66.51,63.05,10.68,7.48,117.77,77.03,86.95,3.86,5.55,Rainfed,96.88,1.71,0.79,4.38
Soybean,West,Clay,Rabi,2023,31.42,74.42,72.73,8.03,7.68,243.77,30.12,140.85,4.37,3.66,Rainfed,103.36,9.35,0.69,2.52
Potato,East,Peat,Rabi,2021,18.14,47.07,74.62,10.24,6.22,177.09,31.5,199.5,1.27,1.05,Rainfed,219.72,7.79,4.3,4.51
Tomato,West,Sandy,Kharif,2023,28.93,65.23,61.6,7.11,8.38,330.43,24.57,146.05,2.95,5.25,Sprinkler,167.05,8.1,11.6,60.85
Tomato,West,Sandy,Zaid,2023,34.38,159.07,78.93,11.65,6.3,180.29,72.23,243.06,4.67,0.83,Drip,206.94,1.45,28.44,23.49
Soybean,West,Silt,Kharif,2017,25.14,36.93,46.4,4.1,7.39,207.71,17.36,130.71,1.26,14.71,Flood,130.0,3.34,0.5,7.36
Rice,Central,Silt,Kharif,2016,35.68,121.06,87.31,5.66,8.47,349.29,51.23,215.59,3.42,0.8,Flood,104.5,9.61,2.06,1.65
Cotton,North,Peat,Kharif,2016,32.51,67.54,78.1,8.2,5.54,320.87,61.26,91.29,4.8,1.77,Flood,164.44,1.15,0.68,1.19
Cotton,East,Loamy,Rabi,2022,13.08,195.43,40.48,10.38,7.21,395.83,51.26,63.84,0.73,11.23,Drip,260.3,3.46,1.76,19.74
Maize,South,Peat,Rabi,2015,14.89,87.25,88.36,11.6,8.45,359.93,73.67,104.32,4.24,6.67,Flood,290.7,5.71,1.8,12.0
Cotton,South,Sandy,Zaid,2022,38.19,44.89,59.71,8.79,6.62,212.48,19.32,285.19,3.88,0.51,Drip,241.4,7.4,0.5,0.25
Rice,Central,Loamy,Kharif,2015,31.89,66.14,70.34,7.62,7.83,227.64,20.77,294.1,1.59,6.82,Rainfed,85.79,3.29,1.04,7.07
Tomato,Central,Loamy,Zaid,2022,23.24,37.1,67.95,9.31,5.69,361.34,22.96,106.34,3.48,3.66,Flood,174.85,1.28,7.04,25.8
Potato,West,Peat,Kharif,2017,14.15,115.99,46.77,6.99,7.93,270.51,17.61,143.19,1.59,4.14,Rainfed,260.84,4.36,8.77,36.34
Tomato,West,Sandy,Zaid,2020,26.3,103.52,53.1,8.86,7.23,219.06,79.35,270.47,3.87,4.35,Drip,165.51,1.85,21.13,92.0
Potato,West,Sandy,Rabi,2020,31.9,168.7,62.69,11.06,5.94,252.5,55.29,179.21,4.5,23.31,Drip,78.96,1.3,21.15,493.03
Tomato,East,Clay,Kharif,2015,16.7,152.17,60.27,9.02,7.81,264.46,47.77,72.06,2.35,4.45,Flood,165.5,9.01,18.75,83.35
Rice,Central,Clay,Kharif,2024,36.81,192.55,58.76,9.74,6.69,169.78,34.0,67.74,1.99,3.59,Drip,288.87,3.13,2.19,7.86
Soybean,West,Peat,Kharif,2016,19.68,93.19,73.63,4.35,6.16,236.71,33.17,228.16,2.8,1.37,Sprinkler,273.62,2.93,1.57,2.16
Wheat,East,Sandy,Kharif,2024,20.33,171.37,88.16,7.99,7.35,200.46,57.47,165.85,2.47,10.17,Rainfed,62.54,8.82,2.18,22.15
Rice,Central,Peat,Rabi,2021,-1.0,64.91,89.71,4.89,7.27,304.5,75.4,245.05,3.4,1.12,Drip,143.43,1.39,1.03,1.15
Tomato,North,Loamy,Rabi,2017,41.9,158.48,77.88,9.22,7.02,144.99,33.08,84.23,3.76,1.37,Rainfed,225.53,6.92,7.8,10.72
Wheat,Central,Loamy,Rabi,2019,21.76,58.58,75.02,4.91,7.99,328.3,23.04,229.79,3.51,7.39,Drip,97.23,1.58,1.2,8.89
Rice,North,Peat,Kharif,2019,18.61,65.55,79.68,9.9,8.28,117.59,10.81,224.78,1.76,2.53,Sprinkler,186.7,1.02,1.02,2.57
Maize,East,Clay,Kharif,2019,33.78,199.58,48.56,11.45,7.09,376.88,24.54,201.14,2.32,7.94,Rainfed,201.48,4.95,3.84,30.46
Maize,North,Peat,Rabi,2017,13.44,67.34,51.0,8.86,7.37,231.73,44.06,289.89,3.8,1.09,Drip,103.03,9.76,2.22,2.41
Wheat,East,Silt,Kharif,2020,23.0,155.43,75.7,6.36,7.15,288.22,43.68,256.79,4.25,10.01,Sprinkler,250.86,4.88,3.33,33.34
Potato,East,Loamy,Rabi,2016,29.23,198.01,64.51,5.97,7.02,142.55,58.41,133.98,1.67,16.18,Drip,244.22,7.87,18.08,292.53
Soybean,South,Peat,Zaid,2018,28.86,111.32,88.06,5.53,8.33,220.43,46.99,80.68,2.93,5.22,Rainfed,299.43,9.75,0.89,4.64
Potato,North,Loamy,Kharif,2020,30.06,62.83,89.56,7.64,8.06,164.9,45.41,291.5,4.76,6.26,Rainfed,249.45,1.76,6.78,42.43
Potato,North,Silt,Kharif,2021,18.81,32.01,45.42,9.79,5.93,240.32,34.99,187.63,3.68,6.27,Sprinkler,178.88,4.64,4.35,27.28
Wheat,East,Peat,Zaid,2016,26.79,217.98,56.54,6.07,7.73,207.93,69.29,131.97,3.66,0.73,Sprinkler,146.39,3.43,2.81,2.06
Maize,East,Peat,Rabi,2022,24.66,194.2,74.98,11.74,7.93,123.24,59.93,183.87,0.57,1.95,Drip,280.44,9.26,4.49,8.75
Soybean,South,Loamy,Zaid,2017,29.05,420.52,80.33,4.08,6.36,109.19,16.59,104.71,2.77,9.9,Sprinkler,265.49,6.16,0.72,7.18
Potato,Central,Silt,Kharif,2015,33.01,80.53,53.86,11.33,6.66,251.02,33.02,215.71,4.98,0.63,Rainfed,274.96,0.04,8.5,5.35
Cotton,South,Clay,Kharif,2022,25.0,38.47,77.87,4.4,7.16,188.48,19.36,242.95,1.48,1.77,Flood,118.77,5.87,0.5,0.88
Cotton,West,Loamy,Zaid,2018,10.11,235.56,79.39,9.01,6.51,310.2,69.05,198.71,4.03,7.41,Flood,192.93,3.12,1.4,10.37
Wheat,South,Peat,Zaid,2016,18.88,43.17,78.97,10.44,7.97,241.87,23.47,74.93,3.85,11.37,Flood,212.71,1.44,0.58,6.6
Rice,West,Clay,Kharif,2023,24.76,110.34,78.86,9.89,8.4,134.46,50.65,222.98,4.51,10.86,Flood,294.5,5.12,2.13,23.1
Potato,South,Peat,Zaid,2020,26.8,75.74,61.12,6.03,7.95,395.74,27.94,64.03,4.17,5.34,Flood,289.92,2.52,8.84,47.2
Cotton,West,Loamy,Kharif,2020,18.08,50.35,46.3,5.79,5.82,386.17,29.5,160.97,4.54,6.16,Flood,204.51,7.06,0.59,3.65
Soybean,West,Peat,Rabi,2015,24.87,230.1,72.13,11.12,7.11,183.19,71.61,185.37,4.58,0.7,Sprinkler,149.38,9.48,1.97,1.39
Wheat,Central,Silt,Kharif,2015,26.33,124.11,83.48,10.21,7.39,394.68,58.0,293.87,0.76,1.25,Sprinkler,162.86,3.85,3.06,3.82
Potato,Central,Silt,Rabi,2023,32.97,37.51,88.8,6.52,6.79,182.42,50.56,64.66,1.17,7.35,Drip,96.63,2.36,3.97,29.15
Rice,Central,Clay,Zaid,2022,23.93,22.33,57.34,9.59,5.77,366.5,73.66,76.25,4.96,2.27,Drip,71.03,0.05,0.63,1.43
Sugarcane,West,Peat,Rabi,2021,18.02,119.37,56.61,10.69,7.65,205.05,61.4,285.12,0.92,2.33,Sprinkler,165.83,4.98,47.25,109.96
Wheat,North,Silt,Rabi,2018,33.31,123.59,68.89,4.91,6.93,206.87,44.37,280.47,2.66,0.57,Rainfed,159.71,8.21,2.0,1.14
Wheat,South,Clay,Rabi,2020,15.09,92.03,52.49,7.72,7.19,399.96,55.09,223.57,2.71,2.69,Sprinkler,253.24,4.95,2.02,5.44
Rice,Central,Loamy,Zaid,2018,19.02,134.75,42.33,6.0,6.56,321.85,44.6,57.16,3.28,3.15,Sprinkler,280.46,5.0,3.11,9.81
Tomato,East,Clay,Rabi,2022,24.41,44.7,78.05,9.77,8.21,110.15,41.33,219.79,0.93,3.14,Sprinkler,285.54,4.36,6.85,21.53
Wheat,South,Silt,Kharif,2019,25.79,106.99,65.03,11.77,5.89,368.8,58.39,114.75,4.56,3.3,Rainfed,253.56,3.89,2.04,6.74
Maize,Central,Sandy,Zaid,2024,23.4,121.23,47.05,9.2,6.07,223.58,21.92,55.5,1.45,4.34,Sprinkler,170.39,5.01,2.52,10.95
Rice,Central,Sandy,Zaid,2016,34.15,64.31,84.06,9.15,7.64,183.2,10.04,266.34,4.2,1.16,Sprinkler,143.53,6.61,1.31,1.52
Cotton,Central,Sandy,Zaid,2019,33.29,216.86,47.01,7.44,5.79,216.88,11.06,274.57,2.87,9.98,Sprinkler,64.98,2.27,1.53,15.26
Wheat,Central,Peat,Rabi,2023,34.89,68.87,50.23,4.52,5.74,328.01,41.14,231.55,3.57,1.23,Rainfed,85.72,7.55,1.02,1.25
Wheat,West,Clay,Rabi,2021,21.3,67.49,43.87,4.1,6.36,102.77,26.11,154.88,1.05,1.05,Rainfed,274.11,5.85,0.74,0.78
Cotton,North,Peat,Rabi,2022,35.49,42.9,70.92,5.04,5.51,379.46,48.84,281.74,2.0,2.49,Flood,150.16,7.06,0.5,1.24
Wheat,South,Clay,Rabi,2021,15.87,279.5,41.27,9.67,6.49,154.07,45.73,176.27,1.12,1.63,Rainfed,152.04,4.09,1.37,2.23
Sugarcane,North,Silt,Kharif,2020,26.55,131.98,43.44,4.94,8.25,289.02,69.02,274.57,2.52,0.75,Drip,97.07,0.67,53.58,40.11
Wheat,South,Silt,Kharif,2018,24.95,72.85,45.91,5.33,6.84,202.05,42.74,157.29,3.4,14.34,Sprinkler,76.97,0.99,1.61,23.01
Maize,East,Loamy,Kharif,2016,37.69,44.26,81.44,11.39,7.41,131.76,72.67,248.12,3.88,0.69,Drip,249.74,1.38,1.1,0.75
Tomato,West,Clay,Zaid,2020,25.3,106.07,53.25,9.29,7.32,132.44,55.92,280.99,1.22,5.04,Flood,135.47,4.6,17.0,85.77
Soybean,North,Silt,Kharif,2020,23.21,419.28,71.24,8.01,6.65,261.81,36.61,139.98,2.59,2.11,Drip,95.01,5.57,1.55,3.27
Sugarcane,Central,Sandy,Kharif,2024,24.44,36.59,41.64,5.97,8.44,348.63,51.71,282.31,2.5,20.96,Rainfed,124.08,2.4,11.34,237.61
Rice,West,Peat,Kharif,2016,36.78,56.38,70.9,6.21,5.65,373.64,71.82,292.7,3.72,6.24,Drip,189.75,1.26,1.14,7.14
Wheat,West,Loamy,Zaid,2016,13.64,54.17,84.51,5.38,8.27,256.84,60.09,77.56,1.71,16.41,Sprinkler,116.54,2.97,0.63,10.41
Wheat,West,Clay,Rabi,2024,22.19,122.81,62.77,8.43,5.87,340.63,64.89,55.4,2.23,0.86,Rainfed,248.03,7.37,2.09,1.79
Rice,North,Clay,Zaid,2015,21.1,46.97,62.81,5.48,6.61,256.67,13.73,228.72,2.94,9.33,Flood,117.95,9.03,1.31,12.22
Potato,West,Clay,Zaid,2021,27.45,41.09,73.85,9.7,8.46,262.39,29.0,220.92,4.91,1.48,Sprinkler,131.5,5.42,5.19,7.66
Wheat,West,Silt,Rabi,2021,35.37,22.25,56.85,10.92,5.63,228.68,63.35,288.3,4.93,3.24,Drip,287.6,0.35,0.5,1.62
Sugarcane,North,Silt,Zaid,2020,14.68,90.79,46.48,10.97,6.57,287.81,21.11,101.54,4.96,7.49,Sprinkler,290.49,2.96,27.11,203.15
Rice,North,Clay,Zaid,2016,30.88,89.93,64.73,5.4,7.7,208.53,23.05,133.0,3.04,6.98,Sprinkler,170.47,5.26,1.33,9.3
Maize,Central,Loamy,Rabi,2021,42.63,543.14,89.8,10.86,5.69,385.98,52.89,250.22,2.33,2.43,Rainfed,165.81,1.47,1.25,3.04
Tomato,South,Sandy,Kharif,2015,30.06,214.92,41.9,5.21,5.88,220.92,79.79,93.34,1.15,12.83,Drip,270.51,0.32,24.95,320.04
Maize,East,Peat,Rabi,2023,34.58,88.22,89.57,4.35,6.2,218.96,41.48,280.34,3.02,0.73,Flood,151.97,4.16,2.89,2.11
Cotton,Central,Peat,Kharif,2017,30.56,111.43,71.78,9.71,7.81,290.52,26.6,268.51,3.79,7.27,Rainfed,299.14,8.03,1.01,7.33
Cotton,Central,Loamy,Rabi,2020,46.61,59.94,81.97,10.1,7.66,399.14,28.16,233.86,2.98,2.38,Drip,90.15,8.96,0.5,1.19
Maize,North,Sandy,Zaid,2023,24.39,194.26,67.27,5.76,6.51,214.46,78.11,51.41,4.94,20.18,Drip,299.04,4.77,5.1,102.96
Potato,East,Sandy,Kharif,2018,22.28,45.41,87.26,4.11,7.14,122.68,30.05,72.02,4.37,4.97,Drip,275.53,6.88,4.12,20.5
Sugarcane,South,Silt,Zaid,2022,24.4,91.31,71.94,8.61,6.95,353.79,55.12,250.33,4.04,1.56,Flood,212.54,2.0,41.2,64.27
Sugarcane,Central,Loamy,Rabi,2020,23.61,192.37,82.2,9.9,8.19,196.86,16.17,64.54,4.33,7.05,Sprinkler,224.65,3.4,33.28,234.81
Rice,West,Clay,Rabi,2018,19.2,337.28,43.19,10.19,6.43,111.72,61.98,132.73,3.75,6.65,Drip,183.7,7.77,1.92,12.76
Soybean,South,Silt,Zaid,2018,32.99,108.95,40.64,11.21,7.14,360.59,71.79,161.24,2.78,3.19,Sprinkler,162.36,8.95,1.71,5.44
Tomato,East,Silt,Kharif,2021,17.72,33.53,70.52,11.97,7.29,335.76,63.83,137.58,2.17,6.94,Sprinkler,175.0,5.71,6.18,42.86
Wheat,East,Clay,Kharif,2020,19.16,35.88,54.59,8.06,6.53,270.51,13.74,177.44,2.16,4.33,Drip,155.63,2.84,0.92,3.96
Rice,South,Loamy,Rabi,2018,32.09,40.43,74.07,11.4,7.12,362.92,18.74,173.45,2.56,0.54,Flood,160.81,3.69,0.91,0.49
Wheat,North,Sandy,Kharif,2019,20.03,80.73,78.74,7.55,5.58,313.03,71.94,178.48,3.11,1.39,Sprinkler,105.16,2.35,1.66,2.31
Soybean,East,Sandy,Rabi,2023,9.67,283.31,66.09,5.54,6.3,215.2,53.63,160.01,2.27,4.66,Sprinkler,110.46,0.79,1.15,5.33
Maize,South,Clay,Kharif,2019,22.11,61.0,78.65,9.73,7.33,355.75,29.74,271.26,2.3,3.06,Drip,151.34,0.98,2.65,8.11
Wheat,South,Silt,Zaid,2016,23.24,34.91,57.04,6.55,5.72,145.68,13.14,123.1,4.4,2.57,Flood,80.92,6.46,0.5,1.29
Soybean,East,Silt,Kharif,2020,18.85,377.01,48.94,8.09,6.22,379.71,78.71,253.67,1.92,3.08,Flood,110.58,8.91,1.55,4.77
Maize,Central,Peat,Rabi,2016,17.53,74.28,72.83,5.32,6.8,289.45,36.98,139.4,0.5,8.66,Drip,272.33,9.69,2.68,23.16
Maize,South,Sandy,Kharif,2023,11.43,746.37,69.49,9.45,7.55,353.58,10.68,105.06,3.49,11.78,Rainfed,221.33,4.13,1.29,15.2
Sugarcane,East,Peat,Rabi,2018,27.87,153.92,77.06,8.86,6.37,377.55,48.63,247.62,1.46,2.61,Drip,268.64,0.5,78.47,204.68
Soybean,Central,Loamy,Kharif,2020,38.21,53.11,50.95,11.41,7.22,131.41,23.51,299.71,1.38,5.21,Sprinkler,155.03,8.86,0.65,3.4
Wheat,East,Sandy,Zaid,2024,24.04,110.87,40.54,11.04,6.83,379.47,44.69,223.56,0.81,7.34,Rainfed,134.5,3.51,1.74,12.75
Soybean,North,Silt,Zaid,2024,22.48,59.78,84.6,6.95,7.67,124.82,51.38,170.47,4.9,9.86,Drip,163.71,7.75,0.63,6.22
Maize,Central,Silt,Zaid,2023,22.17,102.63,43.73,6.78,6.18,315.67,44.31,237.77,2.82,0.95,Flood,233.84,8.33,3.85,3.67
Tomato,Central,Silt,Kharif,2020,37.31,159.45,47.79,5.31,5.71,195.97,43.15,299.47,2.44,6.98,Flood,223.35,2.04,18.07,126.1
Tomato,West,Silt,Rabi,2024,28.5,98.97,75.02,11.99,6.58,368.91,36.74,222.35,3.19,0.77,Rainfed,69.6,0.21,14.05,10.85
Wheat,South,Sandy,Kharif,2022,19.28,113.1,54.44,10.38,7.9,332.62,46.74,121.14,4.14,1.53,Sprinkler,122.44,1.84,2.33,3.56
Potato,South,Loamy,Rabi,2021,29.3,135.91,72.63,7.32,5.8,373.35,45.54,151.74,3.15,1.57,Sprinkler,83.14,4.06,19.45,30.55
Sugarcane,East,Peat,Kharif,2017,28.42,95.66,64.17,9.52,8.35,133.66,68.35,196.0,1.16,2.26,Drip,170.59,6.91,29.86,67.57
Cotton,West,Peat,Rabi,2018,22.77,96.55,74.23,7.59,8.09,360.84,42.95,293.23,0.84,0.52,Drip,145.17,6.01,1.29,0.67
Tomato,Central,Peat,Rabi,2021,16.47,38.69,82.61,10.94,7.52,299.27,51.84,100.73,2.43,6.45,Rainfed,184.31,0.19,4.73,30.54
Tomato,West,Silt,Rabi,2022,24.46,206.31,53.03,8.93,8.27,128.8,45.21,164.06,2.35,9.53,Flood,145.16,0.64,14.18,135.12
Cotton,West,Clay,Kharif,2022,24.17,146.73,50.19,9.17,7.56,176.56,52.04,221.22,2.6,2.55,Sprinkler,204.79,9.78,1.66,4.25
Cotton,North,Loamy,Kharif,2019,20.85,69.71,63.21,4.61,7.16,198.61,18.5,166.56,0.52,3.07,Drip,76.43,0.24,0.8,2.47
Cotton,South,Clay,Kharif,2016,10.94,88.04,61.83,6.15,7.6,137.95,13.72,241.92,3.5,3.95,Flood,166.95,4.97,0.58,2.29
Wheat,Central,Sandy,Rabi,2018,27.49,69.9,64.98,8.23,7.58,313.36,36.43,153.39,2.18,4.35,Flood,163.34,8.9,1.46,6.36
Cotton,East,Loamy,Kharif,2024,27.41,374.02,71.79,11.71,5.97,115.74,50.54,295.87,2.38,1.69,Sprinkler,180.39,6.49,1.13,1.91
Cotton,North,Loamy,Rabi,2020,29.59,145.45,88.76,11.18,6.37,198.02,36.01,148.64,0.95,7.68,Rainfed,141.33,8.8,1.2,9.22
Potato,Central,Clay,Rabi,2023,26.44,69.35,65.93,6.6,7.37,127.89,53.48,118.84,0.58,4.52,Sprinkler,194.61,4.27,5.9,26.69
Potato,South,Sandy,Zaid,2018,39.79,243.81,70.57,4.93,7.03,249.18,14.23,201.71,4.14,7.41,Rainfed,100.74,8.62,10.78,79.91
Soybean,Central,Peat,Zaid,2022,45.22,48.46,78.57,9.02,5.55,282.51,44.4,99.01,4.98,11.87,Rainfed,123.13,5.41,0.5,5.94
Sugarcane,North,Loamy,Kharif,2021,22.13,169.39,86.52,6.87,7.92,249.52,37.76,284.61,2.8,3.65,Rainfed,218.11,2.61,42.93,156.68
Soybean,West,Silt,Zaid,2015,26.58,195.24,53.56,8.35,8.41,195.61,21.23,177.72,2.25,1.37,Flood,272.14,9.91,1.58,2.16
Maize,Central,Sandy,Rabi,2015,28.83,169.02,82.95,9.61,5.63,147.29,14.97,52.47,1.88,2.99,Rainfed,110.26,0.65,1.61,4.81
Sugarcane,East,Sandy,Rabi,2021,31.88,20.81,82.13,11.64,7.65,320.09,75.35,102.27,4.98,7.92,Rainfed,231.64,3.61,5.98,47.42
Cotton,East,Peat,Kharif,2024,19.73,126.11,71.02,9.64,5.75,206.69,40.38,115.16,1.28,1.25,Drip,141.6,4.93,1.05,1.31
Maize,South,Loamy,Zaid,2024,18.84,112.58,66.49,11.86,7.74,272.73,69.56,88.77,0.57,6.36,Rainfed,74.58,1.15,2.35,14.92
Potato,South,Silt,Kharif,2023,29.35,51.54,71.43,11.34,6.45,165.14,17.46,82.62,0.78,0.96,Rainfed,158.0,3.21,3.52,3.37
Soybean,West,Clay,Rabi,2024,27.55,95.64,45.12,9.68,6.59,125.7,68.97,134.55,1.48,10.76,Rainfed,275.53,3.39,0.76,8.13
Cotton,North,Sandy,Kharif,2023,28.31,106.66,76.67,4.51,7.28,385.85,28.35,277.21,4.78,2.07,Sprinkler,238.55,2.39,1.44,2.98
Wheat,Central,Silt,Kharif,2017,19.84,145.83,80.61,6.87,6.0,127.59,50.28,294.52,4.2,3.36,Sprinkler,184.16,2.8,2.71,9.11
Rice,West,Loamy,Kharif,2018,31.07,85.79,63.18,8.18,8.36,281.17,52.4,82.01,4.98,7.91,Flood,269.3,4.14,1.36,10.77
Rice,West,Clay,Rabi,2023,13.84,136.95,85.15,5.31,5.76,321.47,29.12,205.97,3.63,2.44,Drip,253.79,5.5,3.5,8.55
Maize,East,Silt,Rabi,2017,25.81,164.09,83.43,4.16,6.23,127.0,40.95,272.49,2.6,9.98,Drip,131.79,3.4,6.23,62.12
Maize,Central,Silt,Rabi,2016,36.11,47.0,87.44,8.6,7.78,126.85,44.49,275.26,4.45,0.74,Rainfed,125.92,4.43,0.75,0.56
Soybean,South,Sandy,Rabi,2021,22.16,150.93,49.23,6.77,7.49,244.63,61.7,290.3,1.02,6.68,Rainfed,107.59,4.14,1.46,9.76
Maize,Central,Peat,Rabi,2024,21.77,61.85,84.98,9.93,8.42,279.72,26.92,131.91,1.94,2.48,Sprinkler,218.24,5.31,1.6,3.96
Tomato,East,Sandy,Kharif,2017,18.47,36.14,41.11,5.75,5.82,335.63,17.87,231.06,2.24,0.88,Rainfed,253.18,5.8,4.32,3.8
Rice,West,Peat,Kharif,2023,30.14,143.57,54.46,4.5,8.07,194.11,23.7,179.02,4.6,0.72,Flood,241.45,5.72,2.25,1.62
Tomato,West,Silt,Zaid,2015,18.92,156.29,88.29,5.83,5.93,373.86,56.83,159.5,3.08,7.34,Drip,243.26,9.2,29.17,214.24
Cotton,West,Loamy,Zaid,2019,32.47,73.74,69.73,7.36,5.96,240.83,58.36,249.82,2.72,1.4,Rainfed,153.67,7.86,0.62,0.86
Maize,West,Sandy,Kharif,2024,13.94,139.25,65.36,5.93,7.89,125.26,46.74,102.22,0.8,4.0,Rainfed,174.89,7.07,1.61,6.44
Tomato,West,Sandy,Zaid,2024,20.01,119.88,68.85,7.37,7.29,384.17,23.5,276.44,0.74,2.34,Drip,122.04,6.26,21.21,49.72
Potato,North,Sandy,Kharif,2019,37.56,234.0,81.43,9.22,6.88,379.89,68.15,174.83,3.66,4.68,Flood,196.99,3.31,16.6,77.77
Rice,South,Silt,Rabi,2023,23.26,139.02,87.66,11.7,7.17,281.99,23.0,223.83,0.82,2.18,Drip,217.09,3.1,3.47,7.54
Sugarcane,North,Clay,Zaid,2020,19.84,198.3,55.52,4.5,5.72,175.53,22.46,243.58,1.95,8.67,Rainfed,93.46,4.93,43.22,374.56
Tomato,South,Loamy,Kharif,2023,33.9,278.79,51.43,7.95,8.15,123.37,13.91,108.33,3.35,2.0,Drip,97.56,4.59,10.57,21.19
Tomato,North,Clay,Zaid,2022,38.37,48.58,55.03,8.91,8.34,302.42,64.8,141.7,1.73,3.53,Rainfed,251.78,4.56,5.13,18.1
Sugarcane,West,Sandy,Rabi,2015,17.26,224.53,41.16,6.53,6.05,379.46,56.86,278.01,4.88,3.94,Drip,108.58,1.94,59.14,232.82
Cotton,North,Sandy,Rabi,2022,22.57,143.3,42.02,4.41,7.32,292.62,56.57,142.97,4.13,4.31,Rainfed,76.37,7.97,1.49,6.44
Tomato,North,Clay,Zaid,2018,23.8,86.85,47.32,10.94,6.35,334.9,56.97,199.51,1.36,1.75,Rainfed,61.84,2.41,12.74,22.26
Maize,West,Loamy,Kharif,2017,20.13,199.06,58.32,10.04,6.82,335.46,78.34,109.96,4.38,5.36,Drip,254.32,6.52,5.64,30.22
Rice,South,Loamy,Kharif,2023,27.08,153.96,56.37,10.62,7.81,184.49,11.0,79.54,4.45,9.56,Rainfed,123.8,2.85,1.6,15.25
Maize,North,Clay,Zaid,2019,25.15,297.64,78.96,8.84,6.23,257.72,26.35,252.0,2.24,9.47,Sprinkler,145.4,8.24,4.49,42.48
Tomato,East,Sandy,Kharif,2015,41.48,27.29,87.41,8.59,7.02,351.82,70.6,180.57,4.67,0.83,Sprinkler,78.31,5.97,3.65,3.04
Tomato,North,Peat,Zaid,2016,16.46,82.4,56.4,7.24,7.97,278.04,79.81,246.72,1.73,2.03,Rainfed,133.97,8.43,8.0,16.29
Cotton,West,Clay,Zaid,2015,27.2,122.14,51.34,5.75,8.09,368.13,27.93,155.13,4.26,7.87,Drip,253.48,5.18,1.77,13.9
Potato,South,Sandy,Rabi,2018,23.54,59.45,47.83,9.67,7.12,356.38,15.68,260.92,1.82,5.82,Sprinkler,60.03,6.1,10.57,61.52
Rice,North,Silt,Kharif,2015,15.07,97.14,81.66,6.59,6.26,183.68,76.44,139.82,0.52,8.11,Flood,224.82,1.29,1.86,15.05
Soybean,North,Sandy,Kharif,2017,20.42,113.67,65.04,7.06,8.2,173.19,30.0,80.6,3.92,5.03,Sprinkler,202.27,2.18,0.93,4.69
Wheat,West,Peat,Kharif,2020,19.62,181.62,57.44,10.07,5.6,265.35,77.87,295.31,1.77,3.41,Flood,65.74,8.73,2.9,9.9
Soybean,Central,Sandy,Zaid,2021,35.05,68.63,45.64,11.57,7.09,184.88,34.52,117.67,3.21,13.79,Rainfed,264.17,4.6,0.51,7.02
Rice,South,Sandy,Kharif,2020,12.62,429.93,55.19,6.59,8.47,140.18,63.24,283.95,2.8,0.51,Flood,143.76,1.12,1.24,0.64
Maize,North,Silt,Zaid,2020,21.16,176.08,61.94,7.46,7.17,274.51,69.94,127.09,4.2,4.67,Drip,125.13,2.95,5.14,24.01
Potato,South,Silt,Kharif,2016,14.45,272.99,68.75,11.36,5.64,202.78,11.6,118.06,4.38,0.69,Flood,159.04,1.18,9.98,6.85
Sugarcane,North,Clay,Kharif,2021,29.81,202.54,71.15,9.89,6.55,383.32,59.65,155.45,2.42,13.05,Flood,194.1,7.06,61.09,797.06
Tomato,North,Peat,Zaid,2017,30.88,113.6,65.07,8.99,6.12,338.18,76.37,272.78,1.95,3.1,Flood,252.1,5.95,19.57,60.77
Rice,Central,Loamy,Zaid,2021,17.73,281.24,66.8,8.12,5.63,120.83,10.52,278.31,2.34,3.66,Sprinkler,261.35,6.09,2.43,8.9
Sugarcane,South,Loamy,Zaid,2022,31.77,38.13,42.66,5.53,6.3,184.69,56.94,104.46,3.54,0.98,Drip,86.8,5.09,14.11,13.8
Sugarcane,North,Peat,Zaid,2022,20.87,216.3,88.44,9.2,7.53,287.51,53.6,86.78,2.95,2.94,Rainfed,160.63,5.24,33.91,99.67
Soybean,Central,Peat,Zaid,2015,20.52,409.56,45.93,6.07,8.17,244.81,19.49,146.06,1.02,1.62,Sprinkler,63.01,4.38,1.09,1.75
Wheat,Central,Clay,Rabi,2018,23.56,108.18,70.32,5.6,6.53,353.57,16.15,264.48,2.68,9.57,Rainfed,129.5,3.39,2.1,20.13
